district,crop,season,year,avg_percent,payout
Ahmadnagar,Pomegranate,Kharif,2020,9.18,11927.5
Ahmadnagar,Pomegranate,Kharif,2021,19.93,25902.5
Ahmadnagar,Pomegranate,Kharif,2022,19.75,25675
Ahmadnagar,Pomegranate,Kharif,2023,40,52000
Ahmadnagar,Pomegranate,Rabi,2020,0,0
Ahmadnagar,Pomegranate,Rabi,2021,0,0
Ahmadnagar,Pomegranate,Rabi,2022,0,0
Ahmadnagar,Pomegranate,Rabi,2023,0,0
Ahmadnagar,Mango,Kharif,2020,0,0
Ahmadnagar,Mango,Kharif,2021,0,0
Ahmadnagar,Mango,Kharif,2022,0,0
Ahmadnagar,Mango,Kharif,2023,0,0
Ahmadnagar,Mango,Rabi,2020,40,56000
Ahmadnagar,Mango,Rabi,2021,46.12,64575
Ahmadnagar,Mango,Rabi,2022,49.92,69895
Ahmadnagar,Mango,Rabi,2023,66.05,92470
Akola,Pomegranate,Kharif,2020,9.32,12122.5
Akola,Pomegranate,Kharif,2021,10,13000
Akola,Pomegranate,Kharif,2022,10,13000
Akola,Pomegranate,Kharif,2023,39.03,50732.5
Akola,Pomegranate,Rabi,2020,0,0
Akola,Pomegranate,Rabi,2021,0,0
Akola,Pomegranate,Rabi,2022,0,0
Akola,Pomegranate,Rabi,2023,0,0
Akola,Mango,Kharif,2020,0,0
Akola,Mango,Kharif,2021,0,0
Akola,Mango,Kharif,2022,0,0
Akola,Mango,Kharif,2023,0,0
Akola,Mango,Rabi,2020,59.6,83440
Akola,Mango,Rabi,2021,40,56000
Akola,Mango,Rabi,2022,45.47,63656.25
Akola,Mango,Rabi,2023,0,0
Amravati,Pomegranate,Kharif,2020,0,0
Amravati,Pomegranate,Kharif,2021,0,0
Amravati,Pomegranate,Kharif,2022,0,0
Amravati,Pomegranate,Kharif,2023,0,0
Amravati,Pomegranate,Rabi,2020,0,0
Amravati,Pomegranate,Rabi,2021,0,0
Amravati,Pomegranate,Rabi,2022,0,0
Amravati,Pomegranate,Rabi,2023,0,0
Amravati,Mango,Kharif,2020,0,0
Amravati,Mango,Kharif,2021,0,0
Amravati,Mango,Kharif,2022,0,0
Amravati,Mango,Kharif,2023,0,0
Amravati,Mango,Rabi,2020,0,0
Amravati,Mango,Rabi,2021,0,0
Amravati,Mango,Rabi,2022,0,0
Amravati,Mango,Rabi,2023,0,0
Aurangabad,Pomegranate,Kharif,2020,0,0
Aurangabad,Pomegranate,Kharif,2021,0,0
Aurangabad,Pomegranate,Kharif,2022,0,0
Aurangabad,Pomegranate,Kharif,2023,0,0
Aurangabad,Pomegranate,Rabi,2020,0,0
Aurangabad,Pomegranate,Rabi,2021,0,0
Aurangabad,Pomegranate,Rabi,2022,0,0
Aurangabad,Pomegranate,Rabi,2023,0,0
Aurangabad,Mango,Kharif,2020,0,0
Aurangabad,Mango,Kharif,2021,0,0
Aurangabad,Mango,Kharif,2022,0,0
Aurangabad,Mango,Kharif,2023,0,0
Aurangabad,Mango,Rabi,2020,0,0
Aurangabad,Mango,Rabi,2021,0,0
Aurangabad,Mango,Rabi,2022,0,0
Aurangabad,Mango,Rabi,2023,0,0
Bid,Pomegranate,Kharif,2020,0,0
Bid,Pomegranate,Kharif,2021,0,0
Bid,Pomegranate,Kharif,2022,0,0
Bid,Pomegranate,Kharif,2023,0,0
Bid,Pomegranate,Rabi,2020,0,0
Bid,Pomegranate,Rabi,2021,0,0
Bid,Pomegranate,Rabi,2022,0,0
Bid,Pomegranate,Rabi,2023,0,0
Bid,Mango,Kharif,2020,0,0
Bid,Mango,Kharif,2021,0,0
Bid,Mango,Kharif,2022,0,0
Bid,Mango,Kharif,2023,0,0
Bid,Mango,Rabi,2020,0,0
Bid,Mango,Rabi,2021,0,0
Bid,Mango,Rabi,2022,0,0
Bid,Mango,Rabi,2023,0,0
Buldana,Pomegranate,Kharif,2020,0,0
Buldana,Pomegranate,Kharif,2021,0,0
Buldana,Pomegranate,Kharif,2022,0,0
Buldana,Pomegranate,Kharif,2023,0,0
Buldana,Pomegranate,Rabi,2020,0,0
Buldana,Pomegranate,Rabi,2021,0,0
Buldana,Pomegranate,Rabi,2022,0,0
Buldana,Pomegranate,Rabi,2023,0,0
Buldana,Mango,Kharif,2020,0,0
Buldana,Mango,Kharif,2021,0,0
Buldana,Mango,Kharif,2022,0,0
Buldana,Mango,Kharif,2023,0,0
Buldana,Mango,Rabi,2020,0,0
