district,crop,season,year,avg_percent,payout
Ahmadnagar,Pomegranate,Kharif,2015,48.5,63050
Ahmadnagar,Pomegranate,Kharif,2016,30,39000
Ahmadnagar,Pomegranate,Kharif,2017,27,35100
Ahmadnagar,Pomegranate,Kharif,2018,69.2,89960
Ahmadnagar,Pomegranate,Kharif,2019,28.38,36887.5
Ahmadnagar,Pomegranate,Rabi,2015,0,0
Ahmadnagar,Pomegranate,Rabi,2016,0,0
Ahmadnagar,Pomegranate,Rabi,2017,0,0
Ahmadnagar,Pomegranate,Rabi,2018,0,0
Ahmadnagar,Pomegranate,Rabi,2019,0,0
Ahmadnagar,Mango,Kharif,2015,0,0
Ahmadnagar,Mango,Kharif,2016,0,0
Ahmadnagar,Mango,Kharif,2017,0,0
Ahmadnagar,Mango,Kharif,2018,0,0
Ahmadnagar,Mango,Kharif,2019,0,0
Ahmadnagar,Mango,Rabi,2015,82.8,115920
Ahmadnagar,Mango,Rabi,2016,69.7,97580
Ahmadnagar,Mango,Rabi,2017,69.35,97090
Ahmadnagar,Mango,Rabi,2018,96.23,134715
Ahmadnagar,Mango,Rabi,2019,46.62,65275
Amravati,Pomegranate,Kharif,2015,29.45,38285
Amravati,Pomegranate,Kharif,2016,19.98,25967.5
Amravati,Pomegranate,Kharif,2017,19.22,24992.5
Amravati,Pomegranate,Kharif,2018,40,52000
Amravati,Pomegranate,Kharif,2019,19.82,25772.5
Amravati,Pomegranate,Rabi,2015,0,0
Amravati,Pomegranate,Rabi,2016,0,0
Amravati,Pomegranate,Rabi,2017,0,0
Amravati,Pomegranate,Rabi,2018,0,0
Amravati,Pomegranate,Rabi,2019,0,0
Amravati,Mango,Kharif,2015,0,0
Amravati,Mango,Kharif,2016,0,0
Amravati,Mango,Kharif,2017,0,0
Amravati,Mango,Kharif,2018,0,0
Amravati,Mango,Kharif,2019,0,0
Amravati,Mango,Rabi,2015,93.95,131530
Amravati,Mango,Rabi,2016,77.22,108115
Amravati,Mango,Rabi,2017,83.98,117565
Amravati,Mango,Rabi,2018,83.38,116725
Amravati,Mango,Rabi,2019,38.7,54180
Aurangabad,Pomegranate,Kharif,2015,29.73,38642.5
Aurangabad,Pomegranate,Kharif,2016,30,39000
Aurangabad,Pomegranate,Kharif,2017,19.5,25350
Aurangabad,Pomegranate,Kharif,2018,39.73,51642.5
Aurangabad,Pomegranate,Kharif,2019,9.75,12675
Aurangabad,Pomegranate,Rabi,2015,0,0
Aurangabad,Pomegranate,Rabi,2016,0,0
Aurangabad,Pomegranate,Rabi,2017,0,0
Aurangabad,Pomegranate,Rabi,2018,0,0
Aurangabad,Pomegranate,Rabi,2019,0,0
Aurangabad,Mango,Kharif,2015,0,0
Aurangabad,Mango,Kharif,2016,0,0
Aurangabad,Mango,Kharif,2017,0,0
Aurangabad,Mango,Kharif,2018,0,0
Aurangabad,Mango,Kharif,2019,0,0
Aurangabad,Mango,Rabi,2015,84.75,118650
Aurangabad,Mango,Rabi,2016,74.75,104650
Aurangabad,Mango,Rabi,2017,83.58,117005
Aurangabad,Mango,Rabi,2018,95.72,134015
Aurangabad,Mango,Rabi,2019,47.42,66395
Bid,Pomegranate,Kharif,2015,39.73,51642.5
Bid,Pomegranate,Kharif,2016,39.95,51935
Bid,Pomegranate,Kharif,2017,37.75,49075
Bid,Pomegranate,Kharif,2018,59.3,77090
Bid,Pomegranate,Kharif,2019,36.92,48002.5
Bid,Pomegranate,Rabi,2015,0,0
Bid,Pomegranate,Rabi,2016,0,0
Bid,Pomegranate,Rabi,2017,0,0
Bid,Pomegranate,Rabi,2018,0,0
Bid,Pomegranate,Rabi,2019,0,0
Bid,Mango,Kharif,2015,0,0
Bid,Mango,Kharif,2016,0,0
Bid,Mango,Kharif,2017,0,0
Bid,Mango,Kharif,2018,0,0
Bid,Mango,Kharif,2019,0,0
Bid,Mango,Rabi,2015,97.7,136780
Bid,Mango,Rabi,2016,83.1,116340
Bid,Mango,Rabi,2017,71.33,99855
Bid,Mango,Rabi,2018,93.17,130445
Bid,Mango,Rabi,2019,47.4,66360
Buldana,Pomegranate,Kharif,2015,29.75,38675
Buldana,Pomegranate,Kharif,2016,30,39000
Buldana,Pomegranate,Kharif,2017,19.7,25610
Buldana,Pomegranate,Kharif,2018,40,52000
Buldana,Pomegranate,Kharif,2019,19.18,24927.5
Buldana,Pomegranate,Rabi,2015,0,0
Buldana,Pomegranate,Rabi,2016,0,0
Buldana,Pomegranate,Rabi,2017,0,0
Buldana,Pomegranate,Rabi,2018,0,0
Buldana,Pomegranate,Rabi,2019,0,0
Buldana,Mango,Kharif,2015,0,0
Buldana,Mango,Kharif,2016,0,0
Buldana,Mango,Kharif,2017,0,0
Buldana,Mango,Kharif,2018,0,0
Buldana,Mango,Kharif,2019,0,0
Buldana,Mango,Rabi,2015,90.5,126700
Buldana,Mango,Rabi,2016,71.47,100065
Buldana,Mango,Rabi,2017,72.17,101045
Buldana,Mango,Rabi,2018,66.83,93566.67
Buldana,Mango,Rabi,2019,0,0
Dhule,Pomegranate,Kharif,2015,0,0
Dhule,Pomegranate,Kharif,2016,0,0
Dhule,Pomegranate,Kharif,2017,0,0
Dhule,Pomegranate,Kharif,2018,0,0
Dhule,Pomegranate,Kharif,2019,0,0
Dhule,Pomegranate,Rabi,2015,0,0
Dhule,Pomegranate,Rabi,2016,0,0
Dhule,Pomegranate,Rabi,2017,0,0
Dhule,Pomegranate,Rabi,2018,0,0
Dhule,Pomegranate,Rabi,2019,0,0
Dhule,Mango,Kharif,2015,0,0
Dhule,Mango,Kharif,2016,0,0
Dhule,Mango,Kharif,2017,0,0
Dhule,Mango,Kharif,2018,0,0
Dhule,Mango,Kharif,2019,0,0
Dhule,Mango,Rabi,2015,0,0
Dhule,Mango,Rabi,2016,0,0
Dhule,Mango,Rabi,2017,0,0
Dhule,Mango,Rabi,2018,0,0
Dhule,Mango,Rabi,2019,0,0
Hingoli,Pomegranate,Kharif,2015,0,0
Hingoli,Pomegranate,Kharif,2016,0,0
Hingoli,Pomegranate,Kharif,2017,0,0
Hingoli,Pomegranate,Kharif,2018,0,0
Hingoli,Pomegranate,Kharif,2019,0,0
Hingoli,Pomegranate,Rabi,2015,0,0
Hingoli,Pomegranate,Rabi,2016,0,0
Hingoli,Pomegranate,Rabi,2017,0,0
Hingoli,Pomegranate,Rabi,2018,0,0
Hingoli,Pomegranate,Rabi,2019,0,0
Hingoli,Mango,Kharif,2015,0,0
Hingoli,Mango,Kharif,2016,0,0
Hingoli,Mango,Kharif,2017,0,0
Hingoli,Mango,Kharif,2018,0,0
Hingoli,Mango,Kharif,2019,0,0
Hingoli,Mango,Rabi,2015,0,0
Hingoli,Mango,Rabi,2016,0,0
Hingoli,Mango,Rabi,2017,0,0
Hingoli,Mango,Rabi,2018,0,0
Hingoli,Mango,Rabi,2019,0,0
Jalgaon,Pomegranate,Kharif,2015,0,0
Jalgaon,Pomegranate,Kharif,2016,0,0
Jalgaon,Pomegranate,Kharif,2017,0,0
Jalgaon,Pomegranate,Kharif,2018,0,0
Jalgaon,Pomegranate,Kharif,2019,0,0
Jalgaon,Pomegranate,Rabi,2015,0,0
Jalgaon,Pomegranate,Rabi,2016,0,0
Jalgaon,Pomegranate,Rabi,2017,0,0
Jalgaon,Pomegranate,Rabi,2018,0,0
Jalgaon,Pomegranate,Rabi,2019,0,0
Jalgaon,Mango,Kharif,2015,0,0
Jalgaon,Mango,Kharif,2016,0,0
Jalgaon,Mango,Kharif,2017,0,0
Jalgaon,Mango,Kharif,2018,0,0
Jalgaon,Mango,Kharif,2019,0,0
Jalgaon,Mango,Rabi,2015,0,0
Jalgaon,Mango,Rabi,2016,0,0
Jalgaon,Mango,Rabi,2017,0,0
Jalgaon,Mango,Rabi,2018,0,0
Jalgaon,Mango,Rabi,2019,0,0
Jalna,Pomegranate,Kharif,2015,0,0
Jalna,Pomegranate,Kharif,2016,0,0
Jalna,Pomegranate,Kharif,2017,0,0
Jalna,Pomegranate,Kharif,2018,0,0
Jalna,Pomegranate,Kharif,2019,0,0
Jalna,Pomegranate,Rabi,2015,0,0
Jalna,Pomegranate,Rabi,2016,0,0
Jalna,Pomegranate,Rabi,2017,0,0
Jalna,Pomegranate,Rabi,2018,0,0
Jalna,Pomegranate,Rabi,2019,0,0
Jalna,Mango,Kharif,2015,0,0
Jalna,Mango,Kharif,2016,0,0
Jalna,Mango,Kharif,2017,0,0
Jalna,Mango,Kharif,2018,0,0
Jalna,Mango,Kharif,2019,0,0
Jalna,Mango,Rabi,2015,0,0
Jalna,Mango,Rabi,2016,0,0
Jalna,Mango,Rabi,2017,0,0
Jalna,Mango,Rabi,2018,0,0
Jalna,Mango,Rabi,2019,0,0
Kolhapur,Pomegranate,Kharif,2015,0,0
Kolhapur,Pomegranate,Kharif,2016,0,0
Kolhapur,Pomegranate,Kharif,2017,0,0
Kolhapur,Pomegranate,Kharif,2018,0,0
Kolhapur,Pomegranate,Kharif,2019,0,0
Kolhapur,Pomegranate,Rabi,2015,0,0
Kolhapur,Pomegranate,Rabi,2016,0,0
Kolhapur,Pomegranate,Rabi,2017,0,0
Kolhapur,Pomegranate,Rabi,2018,0,0
Kolhapur,Pomegranate,Rabi,2019,0,0
Kolhapur,Mango,Kharif,2015,0,0
Kolhapur,Mango,Kharif,2016,0,0
Kolhapur,Mango,Kharif,2017,0,0
Kolhapur,Mango,Kharif,2018,0,0
Kolhapur,Mango,Kharif,2019,0,0
Kolhapur,Mango,Rabi,2015,0,0
Kolhapur,Mango,Rabi,2016,0,0
Kolhapur,Mango,Rabi,2017,0,0
Kolhapur,Mango,Rabi,2018,0,0
Kolhapur,Mango,Rabi,2019,0,0
Latur,Pomegranate,Kharif,2015,0,0
Latur,Pomegranate,Kharif,2016,0,0
Latur,Pomegranate,Kharif,2017,0,0
Latur,Pomegranate,Kharif,2018,0,0
Latur,Pomegranate,Kharif,2019,0,0
Latur,Pomegranate,Rabi,2015,0,0
Latur,Pomegranate,Rabi,2016,0,0
Latur,Pomegranate,Rabi,2017,0,0
Latur,Pomegranate,Rabi,2018,0,0
Latur,Pomegranate,Rabi,2019,0,0
Latur,Mango,Kharif,2015,0,0
Latur,Mango,Kharif,2016,0,0
Latur,Mango,Kharif,2017,0,0
Latur,Mango,Kharif,2018,0,0
Latur,Mango,Kharif,2019,0,0
Latur,Mango,Rabi,2015,0,0
Latur,Mango,Rabi,2016,0,0
Latur,Mango,Rabi,2017,0,0
Latur,Mango,Rabi,2018,0,0
Latur,Mango,Rabi,2019,0,0
Nanded,Pomegranate,Kharif,2015,0,0
Nanded,Pomegranate,Kharif,2016,0,0
Nanded,Pomegranate,Kharif,2017,0,0
Nanded,Pomegranate,Kharif,2018,0,0
Nanded,Pomegranate,Kharif,2019,0,0
Nanded,Pomegranate,Rabi,2015,0,0
Nanded,Pomegranate,Rabi,2016,0,0
Nanded,Pomegranate,Rabi,2017,0,0
Nanded,Pomegranate,Rabi,2018,0,0
Nanded,Pomegranate,Rabi,2019,0,0
Nanded,Mango,Kharif,2015,0,0
Nanded,Mango,Kharif,2016,0,0
Nanded,Mango,Kharif,2017,0,0
Nanded,Mango,Kharif,2018,0,0
Nanded,Mango,Kharif,2019,0,0
Nanded,Mango,Rabi,2015,0,0
Nanded,Mango,Rabi,2016,0,0
Nanded,Mango,Rabi,2017,0,0
Nanded,Mango,Rabi,2018,0,0
Nanded,Mango,Rabi,2019,0,0
Nandurbar,Pomegranate,Kharif,2015,0,0
Nandurbar,Pomegranate,Kharif,2016,0,0
Nandurbar,Pomegranate,Kharif,2017,0,0
Nandurbar,Pomegranate,Kharif,2018,0,0
Nandurbar,Pomegranate,Kharif,2019,0,0
Nandurbar,Pomegranate,Rabi,2015,0,0
Nandurbar,Pomegranate,Rabi,2016,0,0
Nandurbar,Pomegranate,Rabi,2017,0,0
Nandurbar,Pomegranate,Rabi,2018,0,0
Nandurbar,Pomegranate,Rabi,2019,0,0
Nandurbar,Mango,Kharif,2015,0,0
Nandurbar,Mango,Kharif,2016,0,0
Nandurbar,Mango,Kharif,2017,0,0
Nandurbar,Mango,Kharif,2018,0,0
Nandurbar,Mango,Kharif,2019,0,0
Nandurbar,Mango,Rabi,2015,0,0
Nandurbar,Mango,Rabi,2016,0,0
Nandurbar,Mango,Rabi,2017,0,0
Nandurbar,Mango,Rabi,2018,0,0
Nandurbar,Mango,Rabi,2019,0,0
Nashik,Pomegranate,Kharif,2015,0,0
Nashik,Pomegranate,Kharif,2016,0,0
Nashik,Pomegranate,Kharif,2017,0,0
Nashik,Pomegranate,Kharif,2018,0,0
Nashik,Pomegranate,Kharif,2019,0,0
Nashik,Pomegranate,Rabi,2015,0,0
Nashik,Pomegranate,Rabi,2016,0,0
Nashik,Pomegranate,Rabi,2017,0,0
Nashik,Pomegranate,Rabi,2018,0,0
Nashik,Pomegranate,Rabi,2019,0,0
Nashik,Mango,Kharif,2015,0,0
Nashik,Mango,Kharif,2016,0,0
Nashik,Mango,Kharif,2017,0,0
Nashik,Mango,Kharif,2018,0,0
Nashik,Mango,Kharif,2019,0,0
Nashik,Mango,Rabi,2015,0,0
Nashik,Mango,Rabi,2016,0,0
Nashik,Mango,Rabi,2017,0,0
Nashik,Mango,Rabi,2018,0,0
Nashik,Mango,Rabi,2019,0,0
Osmanabad,Pomegranate,Kharif,2015,0,0
Osmanabad,Pomegranate,Kharif,2016,0,0
Osmanabad,Pomegranate,Kharif,2017,0,0
Osmanabad,Pomegranate,Kharif,2018,0,0
Osmanabad,Pomegranate,Kharif,2019,0,0
Osmanabad,Pomegranate,Rabi,2015,0,0
Osmanabad,Pomegranate,Rabi,2016,0,0
Osmanabad,Pomegranate,Rabi,2017,0,0
Osmanabad,Pomegranate,Rabi,2018,0,0
Osmanabad,Pomegranate,Rabi,2019,0,0
Osmanabad,Mango,Kharif,2015,0,0
Osmanabad,Mango,Kharif,2016,0,0
Osmanabad,Mango,Kharif,2017,0,0
Osmanabad,Mango,Kharif,2018,0,0
Osmanabad,Mango,Kharif,2019,0,0
Osmanabad,Mango,Rabi,2015,0,0
Osmanabad,Mango,Rabi,2016,0,0
Osmanabad,Mango,Rabi,2017,0,0
Osmanabad,Mango,Rabi,2018,0,0
Osmanabad,Mango,Rabi,2019,0,0
Palghar,Pomegranate,Kharif,2015,0,0
Palghar,Pomegranate,Kharif,2016,0,0
Palghar,Pomegranate,Kharif,2017,0,0
Palghar,Pomegranate,Kharif,2018,0,0
Palghar,Pomegranate,Kharif,2019,0,0
Palghar,Pomegranate,Rabi,2015,0,0
Palghar,Pomegranate,Rabi,2016,0,0
Palghar,Pomegranate,Rabi,2017,0,0
Palghar,Pomegranate,Rabi,2018,0,0
Palghar,Pomegranate,Rabi,2019,0,0
Palghar,Mango,Kharif,2015,0,0
Palghar,Mango,Kharif,2016,0,0
Palghar,Mango,Kharif,2017,0,0
Palghar,Mango,Kharif,2018,0,0
Palghar,Mango,Kharif,2019,0,0
Palghar,Mango,Rabi,2015,0,0
Palghar,Mango,Rabi,2016,0,0
Palghar,Mango,Rabi,2017,0,0
Palghar,Mango,Rabi,2018,0,0
Palghar,Mango,Rabi,2019,0,0
Parbhani,Pomegranate,Kharif,2015,0,0
Parbhani,Pomegranate,Kharif,2016,0,0
Parbhani,Pomegranate,Kharif,2017,0,0
Parbhani,Pomegranate,Kharif,2018,0,0
Parbhani,Pomegranate,Kharif,2019,0,0
Parbhani,Pomegranate,Rabi,2015,0,0
Parbhani,Pomegranate,Rabi,2016,0,0
Parbhani,Pomegranate,Rabi,2017,0,0
Parbhani,Pomegranate,Rabi,2018,0,0
Parbhani,Pomegranate,Rabi,2019,0,0
Parbhani,Mango,Kharif,2015,0,0
Parbhani,Mango,Kharif,2016,0,0
Parbhani,Mango,Kharif,2017,0,0
Parbhani,Mango,Kharif,2018,0,0
Parbhani,Mango,Kharif,2019,0,0
Parbhani,Mango,Rabi,2015,0,0
Parbhani,Mango,Rabi,2016,0,0
Parbhani,Mango,Rabi,2017,0,0
Parbhani,Mango,Rabi,2018,0,0
Parbhani,Mango,Rabi,2019,0,0
Pune,Pomegranate,Kharif,2015,0,0
Pune,Pomegranate,Kharif,2016,0,0
Pune,Pomegranate,Kharif,2017,0,0
Pune,Pomegranate,Kharif,2018,0,0
Pune,Pomegranate,Kharif,2019,0,0
Pune,Pomegranate,Rabi,2015,0,0
Pune,Pomegranate,Rabi,2016,0,0
Pune,Pomegranate,Rabi,2017,0,0
Pune,Pomegranate,Rabi,2018,0,0
Pune,Pomegranate,Rabi,2019,0,0
Pune,Mango,Kharif,2015,0,0
Pune,Mango,Kharif,2016,0,0
Pune,Mango,Kharif,2017,0,0
Pune,Mango,Kharif,2018,0,0
Pune,Mango,Kharif,2019,0,0
Pune,Mango,Rabi,2015,0,0
Pune,Mango,Rabi,2016,0,0
Pune,Mango,Rabi,2017,0,0
Pune,Mango,Rabi,2018,0,0
Pune,Mango,Rabi,2019,0,0
Raigarh,Pomegranate,Kharif,2015,0,0
Raigarh,Pomegranate,Kharif,2016,0,0
Raigarh,Pomegranate,Kharif,2017,0,0
Raigarh,Pomegranate,Kharif,2018,0,0
Raigarh,Pomegranate,Kharif,2019,0,0
Raigarh,Pomegranate,Rabi,2015,0,0
Raigarh,Pomegranate,Rabi,2016,0,0
Raigarh,Pomegranate,Rabi,2017,0,0
Raigarh,Pomegranate,Rabi,2018,0,0
Raigarh,Pomegranate,Rabi,2019,0,0
Raigarh,Mango,Kharif,2015,0,0
Raigarh,Mango,Kharif,2016,0,0
Raigarh,Mango,Kharif,2017,0,0
Raigarh,Mango,Kharif,2018,0,0
Raigarh,Mango,Kharif,2019,0,0
Raigarh,Mango,Rabi,2015,0,0
Raigarh,Mango,Rabi,2016,0,0
Raigarh,Mango,Rabi,2017,0,0
Raigarh,Mango,Rabi,2018,0,0
Raigarh,Mango,Rabi,2019,0,0
Ratnagiri,Pomegranate,Kharif,2015,0,0
Ratnagiri,Pomegranate,Kharif,2016,0,0
Ratnagiri,Pomegranate,Kharif,2017,0,0
Ratnagiri,Pomegranate,Kharif,2018,0,0
Ratnagiri,Pomegranate,Kharif,2019,0,0
Ratnagiri,Pomegranate,Rabi,2015,0,0
Ratnagiri,Pomegranate,Rabi,2016,0,0
Ratnagiri,Pomegranate,Rabi,2017,0,0
Ratnagiri,Pomegranate,Rabi,2018,0,0
Ratnagiri,Pomegranate,Rabi,2019,0,0
Ratnagiri,Mango,Kharif,2015,0,0
Ratnagiri,Mango,Kharif,2016,0,0
Ratnagiri,Mango,Kharif,2017,0,0
Ratnagiri,Mango,Kharif,2018,0,0
Ratnagiri,Mango,Kharif,2019,0,0
Ratnagiri,Mango,Rabi,2015,0,0
Ratnagiri,Mango,Rabi,2016,0,0
Ratnagiri,Mango,Rabi,2017,0,0
Ratnagiri,Mango,Rabi,2018,0,0
Ratnagiri,Mango,Rabi,2019,0,0
Sangli,Pomegranate,Kharif,2015,0,0
Sangli,Pomegranate,Kharif,2016,0,0
Sangli,Pomegranate,Kharif,2017,0,0
Sangli,Pomegranate,Kharif,2018,0,0
Sangli,Pomegranate,Kharif,2019,0,0
Sangli,Pomegranate,Rabi,2015,0,0
Sangli,Pomegranate,Rabi,2016,0,0
Sangli,Pomegranate,Rabi,2017,0,0
Sangli,Pomegranate,Rabi,2018,0,0
Sangli,Pomegranate,Rabi,2019,0,0
Sangli,Mango,Kharif,2015,0,0
Sangli,Mango,Kharif,2016,0,0
Sangli,Mango,Kharif,2017,0,0
Sangli,Mango,Kharif,2018,0,0
Sangli,Mango,Kharif,2019,0,0
Sangli,Mango,Rabi,2015,0,0
Sangli,Mango,Rabi,2016,0,0
Sangli,Mango,Rabi,2017,0,0
Sangli,Mango,Rabi,2018,0,0
Sangli,Mango,Rabi,2019,0,0
Satara,Pomegranate,Kharif,2015,0,0
Satara,Pomegranate,Kharif,2016,0,0
Satara,Pomegranate,Kharif,2017,0,0
Satara,Pomegranate,Kharif,2018,0,0
Satara,Pomegranate,Kharif,2019,0,0
Satara,Pomegranate,Rabi,2015,0,0
Satara,Pomegranate,Rabi,2016,0,0
Satara,Pomegranate,Rabi,2017,0,0
Satara,Pomegranate,Rabi,2018,0,0
Satara,Pomegranate,Rabi,2019,0,0
Satara,Mango,Kharif,2015,0,0
Satara,Mango,Kharif,2016,0,0
Satara,Mango,Kharif,2017,0,0
Satara,Mango,Kharif,2018,0,0
Satara,Mango,Kharif,2019,0,0
Satara,Mango,Rabi,2015,0,0
Satara,Mango,Rabi,2016,0,0
Satara,Mango,Rabi,2017,0,0
Satara,Mango,Rabi,2018,0,0
Satara,Mango,Rabi,2019,0,0
Sindhudurg,Pomegranate,Kharif,2015,0,0
Sindhudurg,Pomegranate,Kharif,2016,0,0
Sindhudurg,Pomegranate,Kharif,2017,0,0
Sindhudurg,Pomegranate,Kharif,2018,0,0
Sindhudurg,Pomegranate,Kharif,2019,0,0
Sindhudurg,Pomegranate,Rabi,2015,0,0
Sindhudurg,Pomegranate,Rabi,2016,0,0
Sindhudurg,Pomegranate,Rabi,2017,0,0
Sindhudurg,Pomegranate,Rabi,2018,0,0
Sindhudurg,Pomegranate,Rabi,2019,0,0
Sindhudurg,Mango,Kharif,2015,0,0
