district,crop,season,year,avg_percent,payout
Ahmadnagar,Pomegranate,Rabi,2020,0.0,0.0
Ahmadnagar,Pomegranate,Rabi,2021,0.0,0.0
Ahmadnagar,Pomegranate,Rabi,2022,0.0,0.0
Ahmadnagar,Pomegranate,Rabi,2023,0.0,0.0
Ahmadnagar,Mango,Kharif,2020,0.0,0.0
Ahmadnagar,Mango,Kharif,2021,0.0,0.0
Ahmadnagar,Mango,Kharif,2022,0.0,0.0
Ahmadnagar,Mango,Kharif,2023,0.0,0.0
Akola,Pomegranate,Rabi,2020,0.0,0.0
Akola,Pomegranate,Rabi,2021,0.0,0.0
Akola,Pomegranate,Rabi,2022,0.0,0.0
Akola,Pomegranate,Rabi,2023,0.0,0.0
Akola,Mango,Kharif,2020,0.0,0.0
Akola,Mango,Kharif,2021,0.0,0.0
Akola,Mango,Kharif,2022,0.0,0.0
Akola,Mango,Kharif,2023,0.0,0.0
Amravati,Pomegranate,Kharif,2020,0.0,0.0
Amravati,Pomegranate,Rabi,2020,0.0,0.0
Amravati,Pomegranate,Rabi,2021,0.0,0.0
Amravati,Pomegranate,Rabi,2022,0.0,0.0
Amravati,Pomegranate,Rabi,2023,0.0,0.0
Amravati,Mango,Kharif,2020,0.0,0.0
Amravati,Mango,Kharif,2021,0.0,0.0
Amravati,Mango,Kharif,2022,0.0,0.0
Amravati,Mango,Kharif,2023,0.0,0.0
Aurangabad,Pomegranate,Kharif,2020,0.0,0.0
Aurangabad,Pomegranate,Rabi,2020,0.0,0.0
Aurangabad,Pomegranate,Rabi,2021,0.0,0.0
Aurangabad,Pomegranate,Rabi,2022,0.0,0.0
Aurangabad,Pomegranate,Rabi,2023,0.0,0.0
Aurangabad,Mango,Kharif,2020,0.0,0.0
Aurangabad,Mango,Kharif,2021,0.0,0.0
Aurangabad,Mango,Kharif,2022,0.0,0.0
Aurangabad,Mango,Kharif,2023,0.0,0.0
Bid,Pomegranate,Kharif,2020,0.0,0.0
Bid,Pomegranate,Rabi,2020,0.0,0.0
Bid,Pomegranate,Rabi,2021,0.0,0.0
Bid,Pomegranate,Rabi,2022,0.0,0.0
Bid,Pomegranate,Rabi,2023,0.0,0.0
Bid,Mango,Kharif,2020,0.0,0.0
Bid,Mango,Kharif,2021,0.0,0.0
Bid,Mango,Kharif,2022,0.0,0.0
Bid,Mango,Kharif,2023,0.0,0.0
Buldana,Pomegranate,Kharif,2020,0.0,0.0
Buldana,Pomegranate,Rabi,2020,0.0,0.0
Buldana,Pomegranate,Rabi,2021,0.0,0.0
Buldana,Pomegranate,Rabi,2022,0.0,0.0
Buldana,Pomegranate,Rabi,2023,0.0,0.0
Buldana,Mango,Kharif,2020,0.0,0.0
Buldana,Mango,Kharif,2021,0.0,0.0
Buldana,Mango,Kharif,2022,0.0,0.0
Buldana,Mango,Kharif,2023,0.0,0.0
Dhule,Pomegranate,Kharif,2020,0.0,0.0
Dhule,Pomegranate,Rabi,2020,0.0,0.0
Dhule,Pomegranate,Rabi,2021,0.0,0.0
Dhule,Pomegranate,Rabi,2022,0.0,0.0
Dhule,Pomegranate,Rabi,2023,0.0,0.0
Dhule,Mango,Kharif,2020,0.0,0.0
Dhule,Mango,Kharif,2021,0.0,0.0
Dhule,Mango,Kharif,2022,0.0,0.0
Dhule,Mango,Kharif,2023,0.0,0.0
Hingoli,Pomegranate,Rabi,2020,0.0,0.0
Hingoli,Pomegranate,Rabi,2021,0.0,0.0
Hingoli,Pomegranate,Rabi,2022,0.0,0.0
Hingoli,Pomegranate,Rabi,2023,0.0,0.0
Hingoli,Mango,Kharif,2020,0.0,0.0
Hingoli,Mango,Kharif,2021,0.0,0.0
Hingoli,Mango,Kharif,2022,0.0,0.0
Hingoli,Mango,Kharif,2023,0.0,0.0
Jalgaon,Pomegranate,Kharif,2020,0.0,0.0
Jalgaon,Pomegranate,Rabi,2020,0.0,0.0
Jalgaon,Pomegranate,Rabi,2021,0.0,0.0
Jalgaon,Pomegranate,Rabi,2022,0.0,0.0
Jalgaon,Pomegranate,Rabi,2023,0.0,0.0
Jalgaon,Mango,Kharif,2020,0.0,0.0
Jalgaon,Mango,Kharif,2021,0.0,0.0
Jalgaon,Mango,Kharif,2022,0.0,0.0
Jalgaon,Mango,Kharif,2023,0.0,0.0
Jalna,Pomegranate,Kharif,2020,0.0,0.0
Jalna,Pomegranate,Rabi,2020,0.0,0.0
Jalna,Pomegranate,Rabi,2021,0.0,0.0
Jalna,Pomegranate,Rabi,2022,0.0,0.0
Jalna,Pomegranate,Rabi,2023,0.0,0.0
Jalna,Mango,Kharif,2020,0.0,0.0
Jalna,Mango,Kharif,2021,0.0,0.0
Jalna,Mango,Kharif,2022,0.0,0.0
Jalna,Mango,Kharif,2023,0.0,0.0
Kolhapur,Pomegranate,Kharif,2020,0.0,0.0
Kolhapur,Pomegranate,Rabi,2020,0.0,0.0
Kolhapur,Pomegranate,Rabi,2021,0.0,0.0
Kolhapur,Pomegranate,Rabi,2022,0.0,0.0
Kolhapur,Pomegranate,Rabi,2023,0.0,0.0
Kolhapur,Mango,Kharif,2020,0.0,0.0
Kolhapur,Mango,Kharif,2021,0.0,0.0
Kolhapur,Mango,Kharif,2022,0.0,0.0
Kolhapur,Mango,Kharif,2023,0.0,0.0
Kolhapur,Mango,Rabi,2020,0.0,0.0
Kolhapur,Mango,Rabi,2021,0.0,0.0
Kolhapur,Mango,Rabi,2022,0.0,0.0
Kolhapur,Mango,Rabi,2023,0.0,0.0
Latur,Pomegranate,Kharif,2020,0.0,0.0
