district,crop,season,year,avg_percent,payout
Jalgaon,Pomegranate,Kharif,2015,29.6,38480
Jalgaon,Pomegranate,Kharif,2016,40,52000
Jalgaon,Pomegranate,Kharif,2017,20,26000
Jalgaon,Pomegranate,Rabi,2015,0,0
Jalgaon,Pomegranate,Rabi,2016,0,0
Jalgaon,Pomegranate,Rabi,2017,0,0
Jalgaon,Mango,Kharif,2015,0,0
Jalgaon,Mango,Kharif,2016,0,0
Jalgaon,Mango,Kharif,2017,0,0
Jalgaon,Mango,Rabi,2015,96.52,135135
Jalgaon,Mango,Rabi,2016,76.45,107030
Jalgaon,Mango,Rabi,2017,77.8,108920
Jalna,Pomegranate,Kharif,2015,29.73,38642.5
Jalna,Pomegranate,Kharif,2016,30,39000
Jalna,Pomegranate,Kharif,2017,19.5,25350
Jalna,Pomegranate,Rabi,2015,0,0
Jalna,Pomegranate,Rabi,2016,0,0
Jalna,Pomegranate,Rabi,2017,0,0
Jalna,Mango,Kharif,2015,0,0
Jalna,Mango,Kharif,2016,0,0
Jalna,Mango,Kharif,2017,0,0
Jalna,Mango,Rabi,2015,84.75,118650
Jalna,Mango,Rabi,2016,74.75,104650
Jalna,Mango,Rabi,2017,83.58,117005
Kolhapur,Pomegranate,Kharif,2015,37.55,48815
Kolhapur,Pomegranate,Kharif,2016,10,13000
Kolhapur,Pomegranate,Kharif,2017,9.38,12187.5
Kolhapur,Pomegranate,Rabi,2015,0,0
Kolhapur,Pomegranate,Rabi,2016,0,0
Kolhapur,Pomegranate,Rabi,2017,0,0
Kolhapur,Mango,Kharif,2015,0,0
Kolhapur,Mango,Kharif,2016,0,0
Kolhapur,Mango,Kharif,2017,0,0
Kolhapur,Mango,Rabi,2015,19.73,27615
Kolhapur,Mango,Rabi,2016,18.45,25830
Kolhapur,Mango,Rabi,2017,32.12,44975
Latur,Pomegranate,Kharif,2015,40,52000
Latur,Pomegranate,Kharif,2016,30,39000
Latur,Pomegranate,Kharif,2017,48.83,63472.5
Latur,Pomegranate,Rabi,2015,0,0
Latur,Pomegranate,Rabi,2016,0,0
Latur,Pomegranate,Rabi,2017,0,0
Latur,Mango,Kharif,2015,0,0
Latur,Mango,Kharif,2016,0,0
Latur,Mango,Kharif,2017,0,0
Latur,Mango,Rabi,2015,78.38,109725
Latur,Mango,Rabi,2016,72.08,100905
Latur,Mango,Rabi,2017,71.08,99505
Nanded,Pomegranate,Kharif,2015,30,39000
Nanded,Pomegranate,Kharif,2016,30,39000
Nanded,Pomegranate,Kharif,2017,29,37700
Nanded,Pomegranate,Rabi,2015,0,0
Nanded,Pomegranate,Rabi,2016,0,0
Nanded,Pomegranate,Rabi,2017,0,0
Nanded,Mango,Kharif,2015,0,0
Nanded,Mango,Kharif,2016,0,0
Nanded,Mango,Kharif,2017,0,0
Nanded,Mango,Rabi,2015,83.45,116830
Nanded,Mango,Rabi,2016,85.93,120295
Nanded,Mango,Rabi,2017,88.22,123515
Nandurbar,Pomegranate,Kharif,2015,38.52,50082.5
Nandurbar,Pomegranate,Kharif,2016,39.83,51772.5
